file,Group,NewID
X20210204_MK_MGH_Insol_PiD_2346_1to1Dil_Slot1_16_1_3734.Intensity,PiD,PiD_02
X20210204_MK_MGH_Insol_PiD_2113_1to1Dil_Slot1_16_1_3605.Intensity,PiD,PiD_03
X20210204_MK_MGH_Insol_PiD_2041_1to1Dil_Slot1_16_1_3721.Intensity,PiD,PiD_04
X20210204_MK_MGH_Insol_PiD_2029_1to1Dil_Slot1_16_1_3666.Intensity,PiD,PiD_05
X20210204_MK_MGH_Insol_PiD_1990_1to1Dil_Slot1_17_1_3735.Intensity,PiD,PiD_06
X20210204_MK_MGH_Insol_PiD_1922_1to1Dil_Slot1_17_1_3639.Intensity,PiD,PiD_07
X20210204_MK_MGH_Insol_PiD_1744_1to1Dil_Slot1_28_1_3653.Intensity,PiD,PiD_08
X20210204_MK_MGH_Insol_PiD_1728_1to1Dil_Slot1_17_1_3722.Intensity,PiD,PiD_09
X20210204_MK_MGH_Insol_PiD_1651_1to1Dil_Slot1_28_1_3618.Intensity,PiD,PiD_10
X20210204_MK_MGH_Insol_PiD_1639_1to1Dil_Slot1_29_1_3619.Intensity,PiD,PiD_11
X20210204_MK_MGH_Insol_PiD_1332_1to1Dil_Slot1_29_1_3654.Intensity,PiD,PiD_12
X20210204_MK_MGH_Insol_PiD_1289_1to1Dil_Slot1_17_1_3606.Intensity,PiD,PiD_13
X20210204_MK_MGH_Insol_PiD_497_1to1Dil_Slot1_17_1_3667.Intensity,PiD,PiD_14
X20210211_MK_PiD_227_HSB2541_Insol_1to1Dil_Slot1_27_1_3693.Intensity,PiD,PiD_15
X20210211_MK_PiD_225_HSB2284_Insol_1to1Dil_Slot1_26_1_3692.Intensity,PiD,PiD_16
X20210211_MK_PiD_222_HSB2055_Insol_1to1Dil_Slot1_25_1_3691.Intensity,PiD,PiD_17
X20210211_MK_PiD_122_AN02373_Insol_1to1Dil_Slot1_24_1_3690.Intensity,PiD,PiD_18
X20210211_MK_PiD_121_AN17521_Insol_1to1Dil_Slot1_23_1_3689.Intensity,PiD,PiD_19
X20210211_MK_PiD_120_AN14890_Insol_1to1Dil_Slot1_22_1_3688.Intensity,PiD,PiD_20
X20210407_MK_MGH_FTLD_Tau_1593_Insol_1to1Dil_Slot1_25_1_4243.Intensity,PSP,FTLD-Tau_02
X20210204_MK_MGH_Insol_PSP_2325_1to1Dil_Slot1_14_1_3732.Intensity,PSP,PSP_01
X20210204_MK_MGH_Insol_PSP_2296_1to1Dil_Slot1_14_1_3603.Intensity,PSP,PSP_02
X20210204_MK_MGH_Insol_PSP_2196_1to1Dil_Slot1_14_1_3719.Intensity,PSP,PSP_03
X20210204_MK_MGH_Insol_PSP_2152_1to1Dil_Slot1_26_1_3616.Intensity,PSP,PSP_04
X20210204_MK_MGH_Insol_PSP_2103_1to1Dil_Slot1_14_1_3664.Intensity,PSP,PSP_05
X20210204_MK_MGH_Insol_PSP_2043_1to1Dil_Slot1_15_1_3733.Intensity,PSP,PSP_06
X20210204_MK_MGH_Insol_PSP_1991_1to1Dil_Slot1_27_1_3617.Intensity,PSP,PSP_07
X20210204_MK_MGH_Insol_PSP_1988_1to1Dil_Slot1_15_1_3604.Intensity,PSP,PSP_08
X20210204_MK_MGH_Insol_PSP_1888_1to1Dil_Slot1_26_1_3651.Intensity,PSP,PSP_09
X20210204_MK_MGH_Insol_PSP_1789_1to1Dil_Slot1_14_1_3636.Intensity,PSP,PSP_10
X20210204_MK_MGH_Insol_PSP_1778_1to1Dil_Slot1_27_1_3652.Intensity,PSP,PSP_11
X20210204_MK_MGH_Insol_PSP_1324_1to1Dil_Slot1_15_1_3720.Intensity,PSP,PSP_12
X20210204_MK_MGH_Insol_PSP_1292_1to1Dil_Slot1_15_1_3665.Intensity,PSP,PSP_13
X20210204_MK_MGH_Insol_PSP_1020_1to1Dil_Slot1_15_1_3637.Intensity,PSP,PSP_14
X20210211_MK_PSP_244_HSB5077_Insol_1to1Dil_Slot1_15_1_3680.Intensity,PSP,PSP_15
X20210211_MK_PSP_242_HSB3787_Insol_1to1Dil_Slot1_14_1_3679.Intensity,PSP,PSP_16
X20210211_MK_PSP_241_HSB2875_Insol_1to1Dil_Slot1_13_1_3678.Intensity,PSP,PSP_17
X20210211_MK_PSP_235_HSB4902_Insol_1to1Dil_Slot1_12_1_3677.Intensity,PSP,PSP_18
X20210211_MK_PSP_134_AN04941_Insol_1to1Dil_Slot1_11_1_3676.Intensity,PSP,PSP_19
X20210211_MK_PSP_131_AN05955_Insol_1to1Dil_Slot1_10_1_3675.Intensity,PSP,PSP_20
X20210329_MK_MAYO_PSP_MF_101_Insol_1to1Dil_Slot1_10_1_4171.Intensity,PSP,PSP_21
X20210329_MK_MAYO_PSP_MF_102_Insol_1to1Dil_Slot1_11_1_4172.Intensity,PSP,PSP_22
X20210329_MK_MAYO_PSP_MF_103_Insol_1to1Dil_Slot1_12_1_4173.Intensity,PSP,PSP_23
X20210329_MK_MAYO_PSP_MF_104_Insol_1to1Dil_Slot1_22_1_4187.Intensity,PSP,PSP_24
X20210329_MK_MAYO_PSP_MF_105_Insol_1to1Dil_Slot1_23_1_4188.Intensity,PSP,PSP_25
X20210329_MK_MAYO_PSP_MF_106_Insol_1to1Dil_Slot1_10_1_4128.Intensity,PSP,PSP_26
X20210329_MK_MAYO_PSP_MF_107_Insol_1to1Dil_Slot1_12_1_4130.Intensity,PSP,PSP_27
X20210329_MK_MAYO_PSP_MF_108_Insol_1to1Dil_Slot1_13_1_4131.Intensity,PSP,PSP_28
X20210329_MK_MAYO_PSP_MF_109_Insol_1to1Dil_Slot1_23_1_4143.Intensity,PSP,PSP_29
X20210329_MK_MAYO_PSP_MF_110_Insol_1to1Dil_Slot1_24_1_4144.Intensity,PSP,PSP_30
X20210329_MK_MAYO_PSP_MF_111_Insol_1to1Dil_Slot1_25_1_4145.Intensity,PSP,PSP_31
X20210329_MK_MAYO_PSP_MF_112_Insol_1to1Dil_Slot1_35_1_4157.Intensity,PSP,PSP_32
X20210329_MK_MAYO_PSP_MF_113_Insol_1to1Dil_Slot1_36_1_4158.Intensity,PSP,PSP_33
X20210329_MK_MAYO_PSP_MF_114_Insol_1to1Dil_Slot1_37_1_4159.Intensity,PSP,PSP_34
X20210329_MK_MAYO_PSP_MF_115_Insol_1to1Dil_Slot1_24_1_4189.Intensity,PSP,PSP_35
X20210407_MK_MGH_PSP_2320_Insol_1to1Dil_Slot1_24_1_4242.Intensity,PSP,PSP_36
X20210407_MK_MGH_PSP_2183_Insol_1to1Dil_Slot1_23_1_4241.Intensity,PSP,PSP_37
X20210407_MK_MGH_PSP_2163_Insol_1to1Dil_Slot1_22_1_4240.Intensity,PSP,PSP_38
X20210407_MK_MGH_PSP_1895_Insol_1to1Dil_Slot1_21_1_4239.Intensity,PSP,PSP_39
X20210407_MK_MGH_PSP_903_Insol_1to1Dil_Slot1_20_1_4238.Intensity,PSP,PSP_40
